"Month","Tmin","Tmax","CP"
10,-12,30,0
10,-11,-11,1.18963471935187e-09
10,-11,-10,3.22778558325923e-09
10,-11,-9,1.21431082925395e-08
10,-11,-8,5.46794340538884e-08
10,-11,-7,2.65534769840231e-07
10,-11,-6,1.32594175398069e-06
10,-11,-5,6.67233709226473e-06
10,-11,-4,3.35221787058758e-05
10,-11,-3,0.000167297148570049
10,-11,-2,0.000826377456320131
10,-11,-1,0.00402003683772149
10,-11,0,0.0189636025220586
10,-11,1,0.0815334997719729
10,-11,2,0.261570629187719
10,-11,3,0.48100272925046
10,-11,4,0.519392800458696
10,-11,5,0.509444646984876
10,-11,6,0.589696618063305
10,-11,7,0.564873853788573
10,-11,8,0.594764035231304
10,-11,9,0.589656676006219
10,-11,10,0.603346080594411
10,-11,11,0.579308030843012
10,-11,12,0.583387546902554
10,-11,13,0.570951148974066
10,-11,14,0.566868507341311
10,-11,15,0.592240348501935
10,-11,16,0.52877579744212
10,-11,17,0.484701488416978
10,-11,18,0.464230338062208
10,-11,19,0.389526527988277
10,-11,20,0.390307190061992
10,-11,21,0.386436953740276
10,-11,22,0.291786591031439
10,-11,23,0
10,-11,24,0
10,-11,25,0
10,-11,26,0
10,-11,27,0
10,-11,28,0
10,-11,29,0
10,-11,30,0
10,-10,-10,7.1529479990829e-09
10,-10,-9,1.91589479427695e-08
10,-10,-8,7.08596213828951e-08
10,-10,-7,3.13341026801253e-07
10,-10,-6,1.49421358450216e-06
10,-10,-5,7.32661570205632e-06
10,-10,-4,3.61979378992693e-05
10,-10,-3,0.000178500199103223
10,-10,-2,0.000873667692775062
10,-10,-1,0.00421881031115432
10,-10,0,0.0197739801392331
10,-10,1,0.0844852284471437
10,-10,2,0.269423812119156
10,-10,3,0.492639356048303
10,-10,4,0.534653456426372
10,-10,5,0.52233671570031
10,-10,6,0.590931670866554
10,-10,7,0.55623245350031
10,-10,8,0.614748369498488
10,-10,9,0.600852331488681
10,-10,10,0.571121206192903
10,-10,11,0.575392783585991
10,-10,12,0.613989905987125
10,-10,13,0.610145097326064
10,-10,14,0.571472223951332
10,-10,15,0.54191555848851
10,-10,16,0.516969988714862
10,-10,17,0.49560154446274
10,-10,18,0.45228896208864
10,-10,19,0.424786016652473
10,-10,20,0.42891809500231
10,-10,21,0.436858150957532
10,-10,22,0.347839117922765
10,-10,23,0
10,-10,24,0
10,-10,25,0
10,-10,26,0
10,-10,27,0
10,-10,28,0
10,-10,29,0
10,-10,30,0
10,-9,-9,4.20859278810597e-08
10,-9,-8,1.11262029767711e-07
10,-9,-7,4.04476834471441e-07
10,-9,-6,1.75606823451365e-06
10,-9,-5,8.22155970668292e-06
10,-9,-4,3.95783590587676e-05
10,-9,-3,0.000191937383790016
10,-9,-2,0.000928362426348302
10,-9,-1,0.00444205859356511
10,-9,0,0.0206662924813098
10,-9,1,0.0877027012830162
10,-9,2,0.278013851491138
10,-9,3,0.504954474947313
10,-9,4,0.549155847308524
10,-9,5,0.546148083463475
10,-9,6,0.592872972451021
10,-9,7,0.577702886767292
10,-9,8,0.621539597049863
10,-9,9,0.619939402482871
10,-9,10,0.580870069286224
10,-9,11,0.616659922443115
10,-9,12,0.618937824248735
10,-9,13,0.593033151118524
10,-9,14,0.613841418665702
10,-9,15,0.562029178293464
10,-9,16,0.541819896130296
10,-9,17,0.487305465242014
10,-9,18,0.46223818020684
10,-9,19,0.466605278355678
10,-9,20,0.463667046943304
10,-9,21,0.470548894908068
10,-9,22,0.389632027259405
10,-9,23,0
10,-9,24,0
10,-9,25,0
10,-9,26,0
10,-9,27,0
10,-9,28,0
10,-9,29,0
10,-9,30,0
10,-8,-8,2.42105941186902e-07
10,-8,-7,6.31839712522934e-07
10,-8,-6,2.25743602876017e-06
10,-8,-5,9.62125670625983e-06
10,-8,-4,4.42183188535624e-05
10,-8,-3,0.000208955808947209
10,-8,-2,0.000994232220687809
10,-8,-1,0.00470095641023043
10,-8,0,0.0216793893759296
10,-8,1,0.0913096605536328
10,-8,2,0.286663631493404
10,-8,3,0.517004368473446
10,-8,4,0.559146036780999
10,-8,5,0.571884095684399
10,-8,6,0.589515516990236
10,-8,7,0.603218008380993
10,-8,8,0.63989901283021
10,-8,9,0.618391707506634
10,-8,10,0.597259396512107
10,-8,11,0.647812049309538
10,-8,12,0.650641113951133
10,-8,13,0.615047998145517
10,-8,14,0.567424669600259
10,-8,15,0.56829229447825
10,-8,16,0.52819567425364
10,-8,17,0.508425138510977
10,-8,18,0.515911608268915
10,-8,19,0.490335022531754
10,-8,20,0.497356494800984
10,-8,21,0.433772236714821
10,-8,22,0.388577504649168
10,-8,23,0
10,-8,24,0
10,-8,25,0
10,-8,26,0
10,-8,27,0
10,-8,28,0
10,-8,29,0
10,-8,30,0
10,-7,-7,1.36175516794908e-06
10,-7,-6,3.50672122680917e-06
10,-7,-5,1.23138916129526e-05
10,-7,-4,5.15250282658785e-05
10,-7,-3,0.000232498413650146
10,-7,-2,0.00107842562631438
10,-7,-1,0.00501498998525813
10,-7,0,0.0228680949073255
10,-7,1,0.095365624363787
10,-7,2,0.296621690466268
10,-7,3,0.527974564855388
10,-7,4,0.565298968525634
10,-7,5,0.59393437095814
10,-7,6,0.614026209082104
10,-7,7,0.63252245570727
10,-7,8,0.638952397669251
10,-7,9,0.621258468614324
10,-7,10,0.64184205015147
10,-7,11,0.665983830874939
10,-7,12,0.652296362914303
10,-7,13,0.622782482377193
10,-7,14,0.564813875776606
10,-7,15,0.555670846838878
10,-7,16,0.560266924430287
10,-7,17,0.550454384585323
10,-7,18,0.520984841037594
10,-7,19,0.523813708338127
10,-7,20,0.487970885407785
10,-7,21,0.40324019975099
10,-7,22,0.431099466676778
10,-7,23,0.0322846446535582
10,-7,24,0
